mintemp,maxtemp,rainfall,windgustdir,windgustspeed,winddir9am,winddir3pm,windspeed9am,windspeed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,temp9am,temp3pm,raintoday,risk_mm,raintomorrow,year,month,day_of_year
12.6,16.5,1.6,SSW,50,WSW,SW,22,22,53,59,1013.8,1016,15.1,14.7,Yes,0.4,No,2009,8,235
16.1,31.3,0.2,WSW,31,W,WSW,7,15,79,44,1007.9,1006.3,23,29.8,No,0,No,2009,2,46
18.4,24.9,1.4,SW,35,SW,SW,13,17,77,68,1010.4,1011,21.6,22.7,Yes,0,No,2014,11,332
2.8,17.1,0,NE,26,SE,E,9,9,65,48,1028.3,1024.8,10.8,15.2,No,0,No,2015,9,245
12.2,19.5,6.8,W,39,N,WSW,7,19,96,79,1014.9,1012.4,13.7,16.9,Yes,11.2,Yes,2012,7,213
11.8,17.6,8,W,69,W,WNW,19,28,59,57,1010.3,1010.3,15.8,17,Yes,3,Yes,2014,9,251
8.7,17.6,0.2,SW,52,NNE,WSW,11,19,75,69,1019.1,1016.5,13.9,15.5,No,6.6,Yes,2015,8,243
15.9,26.4,0,E,33,E,SE,13,17,54,32,1021.2,1016.4,19.8,25.4,No,0,No,2012,3,81
11.6,25.7,0.2,SW,39,ESE,SW,9,19,50,46,1016.7,1014.1,19.8,23.9,No,0,No,2019,1,25
16.3,21.8,0,WNW,31,SW,WSW,9,15,63,89,1018.1,1017.2,19.7,17.5,No,2.4,Yes,2013,10,277
22.4,33.1,0,ESE,48,SE,ESE,19,17,53,25,1006.8,1005.1,25.3,32.1,No,0,No,2012,1,29
9.1,18.7,0,NNE,39,ENE,ENE,13,19,52,41,1028.6,1024.7,12.6,18.5,No,0,No,2008,8,223
14.9,33.1,0,ENE,30,ENE,NE,11,9,49,23,1016.9,1013.2,21.9,32.6,No,0,No,2018,4,106
16.6,24.6,0.8,SW,31,SSE,SW,17,13,61,45,1016.4,1015.3,19.7,23.8,No,0,No,2018,3,86
17.4,31.3,0.2,SW,31,SE,SW,7,11,63,37,1020.2,1016.8,23.3,30.9,No,0,No,2019,3,70
7.9,19.7,0,NE,31,NE,N,11,15,86,41,1026,1021.9,11.7,18.7,No,0,No,2008,7,196
14.7,18.7,51.2,S,28,S,SSW,11,13,95,68,1016.1,1015.7,15.3,18.2,Yes,2,Yes,2014,8,242
10.3,18.3,0.2,WNW,33,NNE,WNW,11,13,87,68,1016.6,1015.1,13.4,16.6,No,4.2,Yes,2011,7,201
13.6,31.4,0,WSW,33,ENE,SW,7,17,47,44,1011.6,1008.1,23.5,26.8,No,0,No,2014,4,95
9.1,18.1,10.8,W,57,W,WNW,20,19,74,83,1017,1013.1,15.1,14.9,Yes,24.4,Yes,2018,8,215
6.5,16.6,5.6,SW,35,S,SW,13,15,64,42,1019.1,1018.2,11.4,16.4,Yes,0,No,2009,9,273
17.6,24.7,0,SSW,35,ESE,WSW,7,20,57,45,1017.2,1016.6,20.7,23.2,No,0,No,2010,11,327
4.6,22.8,0,NE,26,ENE,ESE,9,6,62,31,1035.1,1030.5,13.6,22.6,No,0,No,2019,8,232
8.5,23.5,0,SSW,26,NNE,SW,6,15,58,43,1020.9,1019.3,17.9,22.3,No,0,No,2019,10,275
13.8,20.6,10.6,WSW,44,W,NW,13,17,71,56,1010.1,1009.6,17.3,19.1,Yes,6.6,Yes,2017,10,290
12.4,20.2,1,WSW,52,NW,W,17,17,87,75,1013,1013.5,17.2,17.1,No,13.2,Yes,2011,9,264
12.6,20.5,0.8,ENE,15,E,NNE,2,6,91,70,1024.2,1021.7,14.4,20.1,No,0.8,No,2015,7,199
26.7,37.6,0,ESE,39,E,ESE,17,19,34,27,1011.3,1008.9,31.6,36.1,No,0,No,2010,2,57
13.1,28.1,0,SW,28,NE,SW,9,13,38,35,1016.6,1015.7,21.8,26.6,No,0,No,2017,4,101
12.7,16.9,1.8,SW,39,SSW,SSW,19,22,72,50,1013.4,1011.4,14.2,15.5,Yes,2.4,Yes,2009,9,271
14.8,23.6,0,NNE,35,NE,NNW,13,11,35,29,1027.9,1026.6,15.9,23,No,0,No,2014,8,226
9.7,25.6,0,NNE,20,ENE,NE,6,7,75,35,1027.4,1023.5,15.4,24.4,No,0,No,2017,6,156
21.6,30.1,0,SSW,39,SE,SSW,11,17,70,52,1003.4,1001.2,23.5,29.6,No,0,No,2009,1,28
9.7,24,0,ESE,19,E,ENE,4,6,73,43,1024.7,1021.6,16,23.5,No,0,No,2012,5,132
18.4,28.4,0,SSW,28,NW,W,9,11,59,63,1009.2,1008.2,27.1,24.5,No,0,No,2013,12,351
14.7,23,0,SSE,48,S,SSW,15,22,43,40,1010.6,1008.1,19.1,21.2,No,0,No,2010,12,336
16.2,35.2,0,E,33,E,ESE,13,13,48,22,1015.7,1010.3,24.6,34.5,No,0,No,2012,11,326
13.5,30.3,0,E,37,ESE,SE,20,13,41,26,1022,1019.3,19.5,29.4,No,0,No,2019,11,316
17,26,0,SW,33,SSW,SW,15,19,59,50,1014.7,1013,22.9,24.4,No,0,No,2015,12,347
15.8,25.3,0,SW,37,SSE,SW,15,19,50,52,1018.1,1016.1,21.4,24.2,No,0,No,2017,12,347
12.1,28.9,0,SSE,50,ESE,SSW,9,19,56,45,1021,1017,21.3,26,No,0,No,2019,10,299
6.5,18.2,1,NNW,31,NE,NW,9,11,83,48,1021.4,1018.6,10.2,16.5,No,0,No,2017,8,229
9.7,20.9,8.2,NE,24,SE,ESE,6,2,92,63,1019.8,1018.5,14.6,19.3,Yes,0,No,2011,5,138
23.8,37.2,0,SE,39,ENE,SE,19,17,48,29,1007.3,1003.3,29.7,35.9,No,0,No,2014,1,22
14,29.4,0,ENE,35,ENE,WNW,15,13,49,34,1017.1,1011.2,19.1,27.9,No,0.4,No,2010,4,101
15.6,28.5,0,SSW,30,SW,SW,7,17,65,53,1017.7,1015.1,21.3,27,No,0,No,2014,3,76
17.3,30.4,0,ESE,35,E,ESE,13,13,59,32,1020.9,1017.8,21.4,29.4,No,0,No,2015,4,95
22.7,41.8,0,NNE,43,NE,W,22,19,15,21,1010.5,1009.6,33.4,36.1,No,0,No,2009,1,16
23.8,35.3,0,SSW,35,ENE,ENE,13,9,34,22,1018.9,1014.5,28.2,34.6,No,0,No,2014,2,53
4.3,21,0,NE,20,ENE,ENE,9,9,79,38,1028.5,1025,10.9,20.3,No,0,No,2012,7,184
15.1,23.7,0,SSW,43,WSW,SW,7,20,54,52,1013.6,1012.4,20.5,21.5,No,0,No,2014,12,349
5.5,18.2,0,SE,30,SSE,SSE,4,11,77,75,1025.9,1024.4,11.7,17,No,0.2,No,2008,8,232
15.2,35.8,0,SW,39,ENE,SW,11,22,25,21,1008.4,1006.3,27.8,32.2,No,0,No,2015,1,12
19.6,33.5,0,SE,37,ENE,S,11,9,60,37,1012.9,1009.2,25.5,32.8,No,0,No,2020,2,54
21.7,32.3,0,SW,37,SW,SW,6,17,48,51,1011,1009.6,27.2,29.7,No,0,No,2014,2,36
4,21.5,0,NE,31,ENE,NNW,11,9,60,32,1024.3,1019,12.9,21,No,0,No,2010,8,239
15.4,32,0,ESE,35,E,SE,17,13,34,25,1021.7,1018.2,22.8,30.8,No,0,No,2014,12,359
6.5,21.9,0,SW,37,N,SW,9,15,48,66,1016.6,1011.8,17.8,18.9,No,1.6,Yes,2017,10,279
16.4,22.4,0.8,SW,41,SW,SW,15,13,76,50,1019.1,1018.9,18.6,21.3,No,0.2,No,2013,10,289
4.6,15.5,12.6,WSW,24,NNE,W,9,6,88,55,1024.3,1021.5,8,14.6,Yes,4,Yes,2015,8,221
11.1,22.3,0,SW,31,SE,SSW,6,15,63,51,1024,1020.5,17.5,21.7,No,0,No,2014,10,283
18.8,34.7,0,SSW,33,ESE,SSW,13,19,47,38,1010.4,1007,25.2,33,No,0,No,2018,1,20
15.4,20.8,5,SSW,37,SSW,SW,17,17,63,47,1021.6,1021.9,19.1,20.3,Yes,0,No,2014,10,282
5.3,21.7,0,SE,24,SE,SE,7,11,72,38,1026.7,1023.7,13.1,20.9,No,0,No,2019,5,146
8,22.9,0,W,22,SW,W,6,9,67,39,1020.3,1018.6,14.3,21.2,No,0,No,2017,5,133
20.4,34.7,13.4,ESE,39,ENE,E,7,9,37,25,1011.5,1010.1,26.4,33.4,Yes,0,No,2015,1,30
15.1,21.1,7.4,WNW,56,NW,NW,20,24,70,67,1007.5,1008.5,19.4,20.6,Yes,0.2,No,2013,8,243
11.9,28,0,N,28,NE,NW,11,9,69,43,1016.2,1012.7,18,27.4,No,7,Yes,2018,4,111
15.6,32.3,0,SE,43,ESE,SE,17,17,42,21,1016.2,1011.5,20.5,31.3,No,0,No,2015,1,8
12.7,17.6,3.6,SW,46,W,W,17,19,77,67,1011.6,1010.2,15.3,16.4,Yes,1.6,Yes,2009,8,234
3,19.7,0,NE,19,E,SE,7,6,70,37,1030.3,1027.1,10.4,19,No,0,No,2010,7,203
19.1,24.5,0,SSW,39,WNW,W,11,19,68,61,1013.3,1012.9,21.5,22.5,No,0.8,No,2009,3,76
14.7,28.1,0,NE,31,E,E,7,13,49,24,1026.2,1022.4,21.2,27.7,No,0,No,2019,4,116
26.1,38.1,0,NW,50,N,W,17,20,34,43,1006.1,1006,36.4,34.3,No,0.2,No,2011,1,28
9.9,17.5,12,WSW,70,W,W,20,24,51,62,1003.2,1005.5,15.2,15.1,Yes,21,Yes,2009,5,142
21.9,30.3,0,ENE,26,ENE,SW,9,11,57,49,1015.2,1012.6,25.1,28.2,No,0,No,2015,2,43
9.8,22.1,0,SW,28,SSW,SW,6,9,63,44,1022.3,1020.5,16,21.1,No,0,No,2015,5,145
15.1,27.8,4.8,ESE,37,ENE,SW,6,13,65,57,1015.7,1013.8,21.1,24.8,Yes,0,No,2009,4,104
12.1,24.5,0,SSW,31,ESE,SSE,15,15,59,30,1026.2,1021.9,16.5,23.4,No,0,No,2012,10,298
8.9,22.8,8.4,N,28,NNE,NNE,7,11,88,54,1021.3,1017.8,14.8,22.6,Yes,1.2,Yes,2014,7,186
16.3,24.7,12.4,NE,26,NE,W,13,9,94,77,1015.2,1013.6,17.6,24,Yes,3.2,Yes,2015,4,98
23.5,31,0,SSW,41,SSW,SSW,13,24,59,49,1010.9,1008.5,27.6,28.3,No,0,No,2014,1,26
7.4,20.6,0,NE,17,NE,ESE,9,9,87,63,1020.6,1017.6,13.6,19.8,No,0,No,2012,6,154
9.8,28.9,0,NE,31,ENE,E,11,9,48,21,1025.5,1021.3,19.6,28.4,No,0,No,2019,4,117
13.1,27.3,0,SSW,30,ENE,SW,11,17,59,50,1021.7,1018.9,20.2,26.2,No,0,No,2013,3,89
3.4,15.8,0,WSW,30,S,SW,6,20,84,44,1022.5,1020,9.2,15.1,No,1.6,Yes,2009,7,205
16.1,35.5,0,SSW,37,E,SSW,11,15,34,23,1017.2,1012.7,23.7,33.4,No,0,No,2019,1,27
20.1,33.4,0,SE,30,ESE,S,13,11,59,42,1012.4,1008.4,25,33.2,No,0,No,2018,1,22
10.9,19.6,5,SW,52,W,W,19,19,66,56,1011.2,1011.1,15.5,17.9,Yes,13,Yes,2019,11,305
15.6,23.9,0,S,48,SSW,SW,20,26,43,48,1012.2,1011.9,20.1,23.3,No,0,No,2009,12,357
3.1,18.8,0,WSW,20,NE,W,9,11,90,55,1027.4,1024.9,8.8,17.9,No,0,No,2012,7,196
12.9,23.5,0.2,ESE,31,ESE,SSE,13,13,56,38,1019.9,1017.2,18.2,22,No,0,No,2011,10,301
14.1,20.5,0,SW,43,SW,WSW,22,17,48,55,1015.7,1016.2,17.7,18.2,No,0,No,2010,10,275
18.4,31.7,0,SSW,31,ENE,SE,11,11,47,23,1024.2,1020.7,23.2,31.3,No,0,No,2011,3,90
13.8,25.7,0,NE,30,NE,W,13,11,64,52,1012.8,1008.1,18,24.7,No,1.6,Yes,2014,9,248
12.9,20.6,1.8,SW,30,SSE,SSW,15,17,54,42,1022.5,1021.3,16.8,19.3,Yes,0,No,2015,10,288
6.2,26,0,NW,31,NNE,W,13,13,30,28,1020.4,1014.8,18.8,24.5,No,1.8,Yes,2009,9,270
15.7,27.4,0,SE,39,E,ESE,17,17,48,31,1023.5,1017.7,19.8,27,No,0,No,2012,3,83
16.5,31.6,0,SSW,37,SSE,SW,9,20,55,43,1013.8,1011,23.3,26.9,No,0,No,2018,12,365
2.5,24.2,0,N,28,NE,WSW,15,7,41,21,1032.5,1029.9,14.7,22.9,No,0,No,2008,8,230
14.6,26.1,0,SW,37,S,SSW,7,19,53,56,1015.8,1014.7,21.8,22,No,0,No,2018,11,307
15.9,30.1,0,SW,43,SE,SW,13,20,51,42,1017.2,1014.6,20.6,27.7,No,0,No,2009,1,14
9.8,21.6,1.2,SW,41,S,SW,11,24,69,57,1021.9,1018.8,15,19.5,Yes,0,No,2008,9,249
11.1,27.3,0,SW,33,ENE,SE,15,11,38,16,1023.9,1019.2,18.9,26.1,No,0,No,2010,10,289
5.9,21.8,0.2,SE,28,E,E,11,11,48,27,1029.7,1025.9,14.7,21,No,0,No,2015,10,279
21.6,36.1,0,SW,37,E,SSW,15,17,45,42,1012.8,1010.1,28.5,31.3,No,0,No,2020,2,44
16.8,31,0,W,35,ENE,W,9,19,49,41,1012.4,1010.9,24.3,27,No,0,No,2019,2,51
6.8,17.2,1.2,SE,20,NNE,SW,7,11,83,55,1027.3,1027.4,10.1,16.9,Yes,0.2,No,2015,7,191
20.2,23,0,SW,46,WSW,SW,17,22,74,51,1015.9,1017.6,20.9,21.7,No,0,No,2019,4,94
9,19.8,1.8,WSW,50,NW,WNW,9,20,75,52,1015.5,1012.6,14.9,18.7,Yes,3.8,Yes,2009,9,244
16.7,34.2,0,SW,43,E,SSW,9,22,49,44,1017.2,1014.8,26.5,30.6,No,0,No,2014,1,10
17,24.2,0.8,NW,35,WNW,WNW,15,17,67,52,1010.2,1011,19.9,22.8,No,0.4,No,2008,12,339
10.3,19.5,0.2,SW,46,SSE,SW,9,17,68,43,1020.9,1020.8,14.3,18.7,No,0,No,2008,10,304
5.5,18.8,0.2,SW,28,NE,W,6,13,61,57,1023.4,1022,14.6,17.4,No,0,No,2013,10,274
4.7,17.1,0.2,S,24,NNE,S,6,15,70,50,1027.5,1026.5,11.2,16.4,No,0,No,2008,8,216
8.7,15.5,3.6,SW,50,NW,SSW,13,13,88,76,1016.5,1018.7,13.7,11.7,Yes,13.6,Yes,2017,7,186
16.9,29.2,0,ESE,30,SSE,SW,13,13,72,51,1016.1,1013.3,20.1,26,No,0,No,2018,3,82
18.1,36.4,0,ENE,41,ENE,SSW,15,11,20,13,1017.4,1013.8,27.9,36.1,No,0,No,2010,11,332
17.6,34.7,0,SW,35,E,SSW,13,19,46,35,1014.1,1010.2,25,32.1,No,0,No,2017,12,364
5.1,20.9,0,WNW,28,SW,W,9,11,66,60,1020,1017.8,13.2,19.3,No,5.2,Yes,2018,9,246
18.5,29.7,0,SSW,39,SE,SSW,15,20,60,52,1018.8,1015.9,22.9,27.3,No,0,No,2015,2,37
18.9,26.3,0,NNE,35,N,WNW,11,13,47,65,1014.9,1014.1,23.1,24,No,6.4,Yes,2012,5,124
18.6,23.9,1.2,SW,43,SSW,SW,22,20,64,45,1009.3,1009.1,19.8,22.8,Yes,0,No,2020,1,30
3.5,23.5,0,ENE,17,NE,E,4,2,57,28,1030.4,1027.7,12.8,22.7,No,0,No,2012,5,147
16,29.8,0,ESE,28,ENE,WNW,7,11,53,51,1018.3,1016.2,19.3,27.6,No,0,No,2012,4,99
16.7,34.2,0,SW,35,ENE,SW,9,17,28,24,1005.3,1000.2,26.4,33.2,No,0,No,2012,3,78
11.2,24.6,0,NNW,48,NE,N,15,17,77,36,1009.5,1003.5,16.3,22.9,No,18,Yes,2011,8,225
16.4,29.5,0,SSW,41,SE,SSW,11,22,49,49,1012.4,1009.2,24.1,25.9,No,0,No,2017,12,349
15.5,34.1,0,ENE,37,ENE,S,17,13,37,16,1019.1,1014.7,23.4,33.7,No,0,No,2009,12,352
20.7,25.1,0,SSW,44,WSW,WSW,19,20,57,54,1009.6,1009.4,22.4,23.3,No,0.6,No,2012,1,6
8.5,20.8,0.6,SW,37,SE,SW,13,19,43,40,1024.2,1021.8,15.3,19.5,No,0,No,2011,10,292
15,22.6,1,WSW,39,SSW,SW,17,19,58,58,1018.2,1017.9,19.7,20.4,No,0,No,2015,12,341
9.7,20.1,0,NNW,19,NNE,WNW,7,2,99,67,1029.2,1027.8,13.3,18,No,0,No,2018,6,172
12.9,18.2,11.8,W,44,WSW,W,17,17,79,70,1011.4,1010.8,14.4,17.5,Yes,5,Yes,2017,7,201
15.3,24,0,NW,48,NW,WNW,19,15,65,84,1010.5,1009.8,22.6,19.7,No,2.2,Yes,2011,11,321
12.3,23,0,SSW,26,SE,S,13,9,53,35,1022.9,1019.6,16.6,22.5,No,0,No,2011,5,126
18.6,27.3,0,SW,41,SSW,SSW,13,24,58,45,1016.9,1015.4,23.1,25.3,No,0,No,2019,12,361
10,20.1,0.6,SW,35,S,SW,13,19,60,52,1020.1,1018.5,16.5,19.5,No,0,No,2009,10,302
14,25.8,0,SSW,39,SE,SW,4,22,63,47,1017.3,1015.9,19.1,23.8,No,0,No,2008,12,347
16.9,22.5,11.2,NNE,22,N,WSW,2,9,82,66,1009,1006.2,20.6,22.2,Yes,10.4,Yes,2012,5,126
13.9,22.3,0,S,24,ESE,SW,2,11,68,56,1024.1,1021.8,19.3,21.7,No,0,No,2009,4,115
13.8,28.2,0,SSW,46,NE,SSW,19,26,43,45,1022,1017.7,20.6,24.7,No,0,No,2011,11,324
16.5,29.9,0,SW,44,SSE,SW,15,20,53,46,1013.4,1010.3,21.5,26.8,No,0,No,2017,11,329
3.4,18.7,0,NE,37,NNE,NNE,7,11,60,35,1031.3,1026.1,11.6,18.6,No,0,No,2017,6,180
13.8,21.4,0.6,W,26,SW,W,2,11,52,46,1021.3,1020.6,17.5,20.4,No,0,No,2018,10,288
11.5,28.4,0,SSW,20,ENE,SW,4,11,63,38,1021.7,1017.2,18.6,26.2,No,0,No,2013,4,114
11.3,21,0.6,WNW,35,NNE,NNW,9,11,90,87,1018.6,1015.2,15.8,18.8,No,10,Yes,2013,6,160
12.6,19.8,9.6,SW,56,W,W,20,22,49,49,1007.6,1009.3,16.8,19.1,Yes,1,No,2012,11,334
13.9,18.3,4.8,W,41,WNW,WSW,11,11,86,93,1015.2,1014.1,16.8,14.3,Yes,16.2,Yes,2009,8,232
19.1,34.9,0,ENE,33,NE,NE,17,7,39,19,1014.9,1010.4,25.5,34.5,No,0,No,2011,3,73
16,24.2,0,WSW,35,ENE,SW,7,17,57,49,1019.5,1016.1,19.6,22.5,No,0,No,2013,3,80
9.7,18,11.6,WNW,39,NNE,WNW,7,11,93,86,1012.3,1008.4,12.5,15.3,Yes,30.6,Yes,2008,7,211
20.1,25.5,0,NW,31,NE,NW,9,15,25,59,1012.4,1010.7,24.1,24.1,No,40.8,Yes,2012,4,119
12.9,23,0,SSW,33,S,SSW,9,17,60,54,1017.4,1015,17.8,21.9,No,0,No,2018,12,335
3,18,1,SW,31,SSE,SW,11,15,59,42,1029,1026.4,13.2,16.8,No,0,No,2019,9,263
13.1,22.8,1.6,SSW,35,SSW,SW,9,17,74,49,1013.7,1014.4,18.5,21.2,Yes,0,No,2018,12,340
9.1,15,9.2,S,33,S,SSE,11,13,76,45,1026.5,1024.5,10.7,14.8,Yes,0,No,2015,7,189
15.2,29.8,0,SW,39,E,SW,9,15,50,36,1016.5,1014.2,23.1,28.5,No,0,No,2017,11,308
12.8,29.4,0,SSW,24,E,SW,9,15,52,40,1013.5,1011.6,21.1,27.9,No,0,No,2009,4,107
15.6,29.1,0,SW,35,ESE,SSW,11,15,52,36,1019.2,1014.4,20.6,27.5,No,0,No,2018,2,59
17.4,30.5,0,SE,56,SE,SE,20,13,49,26,1016.6,1013.7,21.9,29.8,No,0,No,2010,11,330
15.6,31.9,0,ENE,39,ENE,E,20,9,39,27,1008.1,1004.6,24.4,31,No,0,No,2013,11,325
18.7,31.7,0,ENE,44,E,E,11,17,55,37,1015.6,1013.4,23.7,31.4,No,0,No,2014,3,81
9.4,20.6,8.4,SW,35,SSE,SSW,13,13,54,41,1019,1016.9,16.1,19.6,Yes,0,No,2010,10,294
15.4,23.2,0,NE,41,NE,ENE,19,17,48,35,1019.3,1015.5,17.6,22.8,No,0,No,2012,6,157
15.6,34.5,0,SSW,37,ENE,WSW,13,19,42,41,1015.7,1011.9,24.8,29.3,No,0,No,2019,12,355
12.2,26.5,0,SW,44,E,SW,13,22,44,40,1023.3,1018.2,19.1,23.6,No,0,No,2010,10,296
9.3,18.3,19.2,W,33,WNW,WSW,7,15,65,57,1018,1017.6,15.6,17.4,Yes,0,No,2008,7,206
13.1,23.7,0,SW,43,E,SW,7,24,48,42,1017.4,1015.4,19.9,21.8,No,0,No,2017,11,334
11.8,21.5,0,SW,43,SSE,SW,9,24,83,64,1016.8,1015.3,15.3,19.7,No,0,No,2010,5,129
16.4,24.7,0,WSW,35,WSW,WSW,11,17,75,47,1014.6,1013.9,21.8,23.5,No,0,No,2018,4,97
18.7,24.7,0,SSW,50,SW,SW,20,28,66,57,1013,1013.2,22.7,23,No,0,No,2014,12,346
11.9,22.9,0,N,37,NNW,W,15,15,68,67,1010.6,1009.5,20.3,20.2,No,12.4,Yes,2013,10,281
15.7,25.8,0,SW,33,SW,SW,13,15,58,49,1022.7,1020.7,20.8,25,No,0,No,2008,10,292
21.5,29.4,0,SE,41,SE,E,15,15,64,45,1013.2,1011.7,22.4,28.2,No,0,No,2009,2,44
12.2,21.1,8.4,SW,46,NW,SW,6,22,97,72,1011,1011.2,17.1,18.8,Yes,8.8,Yes,2012,6,171
12.4,24,0,E,30,ESE,E,13,11,70,50,1027,1023.2,14.7,22.3,No,0,No,2014,8,222
1.8,21.8,0,NNE,13,SW,NNE,6,4,79,32,1028.5,1025.8,9.7,20.8,No,0,No,2012,7,202
15.2,20.1,3.8,SSW,41,W,W,15,13,53,63,1016.4,1016.2,18.8,17.4,Yes,0.4,No,2012,10,277
17.8,27,0,W,46,NW,W,13,13,66,59,1014.8,1012.6,24,25.2,No,0,No,2015,11,327
7.5,24.5,0,NW,19,NE,WNW,7,9,69,49,1021.2,1017.5,13.5,22,No,0.2,No,2012,8,224
15.2,27.8,0,SW,46,SSE,SW,17,24,51,45,1015.1,1011.3,19,24.3,No,0,No,2020,2,40
8.6,21.6,0,SSE,28,SSE,S,4,13,59,39,1023.2,1020.6,15.8,20.5,No,0,No,2017,5,130
17.9,35.9,0,SE,33,E,SSW,11,11,50,28,1015.2,1010.6,25.1,35.6,No,0,No,2018,11,320
7.6,15.7,0,SE,22,ENE,E,7,9,71,54,1019.2,1015.7,9.6,14.9,No,1.6,Yes,2009,6,173
10.3,20.5,0.6,S,20,S,SW,7,9,87,51,1018.9,1015,13.8,19.1,No,0,No,2013,5,138
10.5,34.3,0,NE,41,NE,NNE,20,19,21,12,1017.2,1012.9,25.1,33.5,No,0,No,2012,10,275
14.3,36.1,0,S,28,E,SW,7,17,35,16,1013.1,1010.1,28.2,34.5,No,0,No,2017,12,355
16.3,29.2,0,SW,37,E,SSE,19,17,53,26,1013,1009.2,20.7,28,No,0,No,2012,3,74
10.2,23.2,0,SSW,33,SSE,SW,7,17,69,51,1025.1,1022.1,16.3,20.9,No,0,No,2015,9,269
0.8,15.6,0,ENE,17,SSE,WSW,6,2,82,48,1029.7,1025.7,7.3,14.7,No,1.2,Yes,2015,7,190
19.2,34.9,0,ESE,39,ESE,ESE,17,17,50,29,1019.7,1015.9,24.2,33.7,No,0,No,2019,2,39
9.5,21.8,0,NE,33,NE,ENE,11,15,54,38,1020.8,1016.2,15.7,21.3,No,0,No,2015,6,167
19.2,25.5,0.6,WNW,46,WNW,WNW,15,24,61,67,1014.4,1014.5,23.1,23.2,No,4.6,Yes,2012,4,93
9.8,21.8,0,NNE,30,E,NE,11,9,64,41,1023.3,1018.7,15.1,21.3,No,0,No,2013,5,134
24.6,37.1,0,ESE,46,E,E,13,13,37,18,1014,1011.5,28,36.9,No,0,No,2020,2,51
9.4,19.6,0,ESE,30,E,SE,13,13,60,55,1020.4,1015.9,13.9,18.9,No,0,No,2014,9,247
15.8,22,4.4,W,37,WSW,WNW,17,15,68,58,1017.3,1017.4,17,19.3,Yes,2.2,Yes,2012,10,288
3.2,22.1,0,W,26,NNE,WSW,7,13,66,37,1020.4,1017,10.2,20.7,No,3.2,Yes,2013,7,183
12.2,20.5,5.2,WSW,33,NNE,WSW,9,13,88,73,1015.7,1015.4,16.9,18.8,Yes,6.2,Yes,2017,9,254
9.4,25.1,0,NE,31,ENE,ENE,17,9,53,31,1022.7,1018,17.7,24.7,No,0,No,2017,10,274
11.8,26,0,SW,31,SE,WSW,4,13,67,54,1020.8,1018,20.1,24,No,0,No,2012,4,105
14.1,27.1,0,SSE,33,ENE,SW,17,17,57,44,1020.4,1017.3,20,25.9,No,0,No,2013,11,311
20.4,28.6,0,NW,33,WNW,W,11,15,67,49,1012.1,1010.5,24.5,27.5,No,0,No,2012,2,42
20.5,31.2,0,SW,30,WSW,SW,7,15,61,52,1011.4,1010.6,29.1,30.9,No,0,No,2010,12,358
1.2,17,0,NE,20,NE,SSE,7,6,97,52,1030.1,1028.5,7.5,15.6,No,0,No,2008,7,202
19.5,34.3,0,ENE,30,ENE,WSW,11,15,56,41,1013.6,1010.5,25.4,32.1,No,0,No,2020,2,43
2.8,20.7,0,NNE,37,NE,NE,17,15,37,20,1022.2,1018,12,20.6,No,0,No,2010,8,222
