artist,country,birth,death,alive,genx,gender,count,year_acquired_min,year_acquired_max
Ronnie Goodman,american,1960,2020,FALSE,FALSE,male,1,2013,2013
Edward Zwick,american,1952,NA,TRUE,FALSE,male,1,2012,2012
JosÃ© R. Alicea,american,1928,NA,TRUE,FALSE,male,4,1964,1967
Kathy High,american,1954,NA,TRUE,FALSE,female,1,1990,1990
Julius Thiengen Bloch,american,1888,1966,FALSE,FALSE,male,4,1940,1940
Robert Gordy,american,1933,1986,FALSE,FALSE,male,1,1991,1991
Karin Sander,german,1957,NA,TRUE,FALSE,female,7,1994,2019
Edward Fella,american,1938,NA,TRUE,FALSE,male,11,2000,2000
Jakob Jack Friedrich Bollschweiler,german,1888,1938,FALSE,FALSE,male,2,1949,1949
Russell Limbach,american,1904,1971,FALSE,FALSE,male,1,1940,1940
Joe Scorsone,american,1942,NA,TRUE,FALSE,male,2,1980,1980
James Montgomery Flagg,american,1877,1960,FALSE,FALSE,male,7,1940,1967
Jean-Baptiste-Camille Corot,french,1796,1875,FALSE,FALSE,male,2,1954,1964
Stephen Metts,american,1968,NA,TRUE,TRUE,male,1,2004,2004
Grant T. Reynard,american,1887,1968,FALSE,FALSE,male,1,1940,1940
Charles Clifford,british,1819,1863,FALSE,FALSE,male,1,1978,1978
Jay McCafferty,american,1948,NA,TRUE,FALSE,male,1,1981,1981
Marco De Valdivia,chilean,1947,NA,TRUE,FALSE,male,2,1979,1979
Gustav Klimt,austrian,1862,1918,FALSE,FALSE,male,11,1955,1979
Leander Fornas,american,1925,2014,FALSE,FALSE,male,4,1956,1986
Richard Barnes,american,1953,NA,TRUE,FALSE,male,4,2012,2012
John Ahearn,american,1951,NA,TRUE,FALSE,male,4,2016,2016
AmÃ¨rico BalÃ¡n,argentine,1915,1986,FALSE,FALSE,male,1,1969,1969
Victor Brauner,romanian,1903,1966,FALSE,FALSE,male,11,1947,1975
Rong Rong,chinese,1968,NA,TRUE,TRUE,male,5,2008,2008
Joseph Pollet,american,1897,1979,FALSE,FALSE,male,1,1940,1940
Fred Williams,australian,1927,1982,FALSE,FALSE,male,16,1973,1980
Charles L. Goeller,american,1901,1955,FALSE,FALSE,male,1,1934,1934
Rob Voerman,dutch,1966,NA,TRUE,TRUE,male,3,2006,2006
Mariah Robertson,american,1975,NA,TRUE,TRUE,female,2,2010,2012
Keigo Yamamoto,japanese,1936,NA,TRUE,FALSE,male,3,1979,1986
Werner Knaupp,german,1936,NA,TRUE,FALSE,male,2,1969,1969
Ricardo Basbaum,brazilian,1961,NA,TRUE,FALSE,male,1,2006,2006
Osamu Nagata,japanese,1950,NA,TRUE,FALSE,male,1,1986,1986
Olga Rozanova,russian,1886,1918,FALSE,FALSE,female,211,1974,2001
Robert Kozma,american,1951,NA,TRUE,FALSE,male,1,1990,1990
Bernard Tschumi,,1944,NA,TRUE,FALSE,male,61,1992,2000
Pasquale Santoro,italian,1933,NA,TRUE,FALSE,male,1,1966,1966
Carl AubÃ¶ck,austrian,1900,1957,FALSE,FALSE,male,8,1959,2001
Ron Herron,british,1930,1994,FALSE,FALSE,male,2,2000,2000
Akihiro Kaneko,japanese,1961,NA,TRUE,FALSE,male,1,2000,2000
Gianfredo Camesi,swiss,1940,NA,TRUE,FALSE,male,6,2007,2007
Arthur Secunda,american,1927,NA,TRUE,FALSE,male,6,1967,1974
Andrzej Zborski,polish,1929,NA,TRUE,FALSE,male,1,2015,2015
Amy O'Neill,american,1971,NA,TRUE,TRUE,female,4,2015,2015
Yehudit Sasportas,israeli,1969,NA,TRUE,TRUE,female,1,2005,2005
AndrÃ© Marchand,french,1907,1997,FALSE,FALSE,male,1,1952,1952
SanlÃ© Sory,burkinabe,1943,NA,TRUE,FALSE,male,26,2018,2018
Claude Monet,french,1840,1926,FALSE,FALSE,male,5,1956,1992
Jean L'Anselme,french,1919,2011,FALSE,FALSE,male,7,1976,1976
G. de Latenay,french,1859,1943,FALSE,FALSE,male,1,1958,1958
